,name,year,genre,country,duration,age_limit,budget,director,rating
1586,Тройной форсаж: Токийский Дрифт (2006),2006,драма,США,104,16 +,85000000,Джастин Лин,6.1
1587,Эрагон (2006),2006,боевик,США,104,12 +,100000000,Стефен Фэнгмейер,5.1
1589,Братья Гримм (2005),2005,комедия,США,118,12 +,88000000,Терри Гиллиам,5.9
1590,Из 13 в 30 (2004),2004,мелодрама,США,98,18 +,37000000,Гари Виник,6.3
1591,Рассвет мертвецов (2004),2004,триллер,США,101,16 +,26000000,Зак Снайдер,7.2
1592,Очень страшное кино 3 (2003),2003,комедия,США,84,16 +,48000000,Дэвид Цукер,5.6
1593,Плохие парни 2 (2003),2003,комедия,США,141,16 +,130000000,Майкл Бэй,6.6
1594,Хозяин морей: На краю Земли (2003),2003,драма,США,138,16 +,150000000,Питер Уир,7.5
1595,Блэйд 2 (2002),2002,триллер,США,117,18 +,54000000,Гильермо дель Торо,6.7
1596,К-19 (2002),2002,драма,США,138,12 +,100000000,Кэтрин Бигелоу,6.7
1597,Машина времени (2002),2002,боевик,США,96,12 +,80000000,Саймон Уэллс,6.0
1598,Неуязвимый (2000),2000,драма,США,106,12 +,75000000,М. Найт Шьямалан,7.3
1599,Очень страшное кино (2000),2000,комедия,США,88,16 +,19000000,Кинен Айвори Уайанс,6.3
1600,Годзилла (1998),1998,триллер,США,139,18 +,130000000,Роланд Эммерих,5.5
1601,"Шесть дней, семь ночей (1998)",1998,мелодрама,США,98,16 +,70000000,Айвен Райтман,5.9
1602,Донни Браско (1997),1997,драма,США,127,16 +,35000000,Майк Ньюэлл,7.7
1603,Контакт (1997),1997,драма,США,150,12 +,90000000,Роберт Земекис,7.5
1604,Плохие парни (1995),1995,драма,США,118,16 +,19000000,Майкл Бэй,6.8
1605,Настоящая Маккой (1993),1993,драма,США,105,16 +,null,Рассел Малкэй,5.5
1606,Бэтмен (1989),1989,триллер,США,126,12 +,35000000,Тим Бертон,7.5
1607,Могила светлячков (1988),1988,драма,Япония,89,12 +,null,Исао Такахата,8.5
1608,Поездка в Америку (1988),1988,драма,США,116,6 +,39000000,Джон Лэндис,7.1
1609,Завтра была война (1987),1987,драма,СССР,89,12 +,null,Юрий Кара,7.7
1610,Смертельное оружие (1987),1987,триллер,США,110,16 +,15000000,Ричард Доннер,7.6
1611,Кин-дза-дза! (1986),1986,драма,СССР,135,0 +,null,Георгий Данелия,7.8
1612,Курьер (1986),1986,драма,СССР,88,16 +,null,Карен Шахназаров,7.7
1613,"Мэри Поппинс, до свидания (1983)",1983,мюзикл,СССР,141,6 +,null,Леонид Квинихидзе,7.5
1614,Спортлото-82 (1982),1982,комедия,СССР,95,0 +,null,Леонид Гайдай,6.8
1615,В небе «ночные ведьмы» (1981),1981,военный,СССР,80,6 +,null,Евгения Жигуленко,6.9
1616,Пес в сапогах (1981),1981,мультфильмы,СССР,20,6 +,null,Ефим Гамбург,7.4
1617,Золушка (1979),1979,мелодрама,СССР,17,0 +,null,Иван Аксенчук,7.4
1618,Двадцать дней без войны (1976),1976,драма,СССР,101,12 +,null,Алексей Герман,7.7
1619,Конек-Горбунок (1975),1975,мелодрама,СССР,63,0 +,null,null,7.4
1620,Челюсти (1975),1975,триллер,США,124,16 +,7000000,Стивен Спилберг,8.1
1621,Как львенок и черепаха пели песню (1974),1974,короткометражный,СССР,9,6 +,null,Инесса Ковалевская,7.3
1622,Соломенная шляпка (1974),1974,комедия,СССР,127,12 +,null,Леонид Квинихидзе,7.1
1623,Винни Пух идет в гости (1971),1971,короткометражный,СССР,10,0 +,null,Федор Хитрук,8.2
1624,Начало (1970),1970,драма,СССР,86,12 +,null,Глеб Панфилов,7.6
1625,В стране невыученных уроков (1969),1969,короткометражный,СССР,19,6 +,null,Юрий Прытков,7.7
1626,Разведчики (1968),1968,военный,СССР,80,12 +,null,null,6.4
1627,Книга джунглей (1967),1967,мультфильмы,США,78,0 +,null,Вольфганг Райтерман,7.6
1628,Три тополя на Плющихе (1967),1967,мелодрама,СССР,79,0 +,null,Татьяна Лиознова,7.8
1629,Жаворонок (1964),1964,драма,СССР,91,12 +,null,null,7.2
1630,Живет такой парень (1964),1964,мелодрама,СССР,101,16 +,null,Василий Шукшин,7.6
1631,Сказка о потерянном времени (1964),1964,детский,СССР,85,0 +,null,Александр Птушко,7.0
1632,Деловые люди (1962),1962,драма,СССР,84,0 +,null,Леонид Гайдай,7.6
1633,Доктор Ноу (1962),1962,триллер,Великобритания,110,12 +,1100000,Теренс Янг,7.2
1634,Мастер (2025),2025,триллер,США,116,18 +,null,Дэвид Эйр,5.7
1635,Спутник (2020),2020,драма,Россия,113,16 +,null,Егор Абраменко,6.4
1636,Любовь между строк (2019),2019,мелодрама,Германия,123,18 +,null,Ванесса Йопп,6.6
1637,Рождество на двоих (2019),2019,мелодрама,США,103,16 +,null,Пол Фиг,6.5
1638,Союз спасения (2019),2019,драма,Россия,134,12 +,null,Андрей Кравчук,5.2
1639,"Ну, здравствуй, Оксана Соколова! (2018)",2018,комедия,Россия,null,16 +,null,Кирилл Васильев,5.2
1640,Хищник (2018),2018,боевик,США,107,18 +,null,Шейн Блэк,5.3
1642,В активном поиске (2016),2016,мелодрама,США,110,18 +,38000000,Кристиан Диттер,6.1
1643,День независимости: Возрождение (2016),2016,боевик,США,129,12 +,165000000,Роланд Эммерих,5.2
1644,Полтора шпиона (2016),2016,комедия,США,107,16 +,50000000,Роусон Маршалл Тербер,6.3
1645,Статус: Свободен (2016),2016,мелодрама,Россия,95,16 +,null,Павел Руминов,5.5
1646,Идеальный голос 2 (2015),2015,комедия,США,114,16 +,29000000,Элизабет Бэнкс,6.4
1647,Кровавая леди Батори (2015),2015,триллер,Россия,107,12 +,2000000,Андрей Конст,4.1
1648,Подарок (2015),2015,триллер,США,108,18 +,5000000,Джоэл Эдгертон,7.0
1649,Фантастическая четверка (2015),2015,боевик,США,100,12 +,120000000,Джошуа Транк,4.3
1650,Superнянь (2014),2014,комедия,Франция,85,16 +,null,null,6.8
1652,Континуум (2014),2014,триллер,США,106,12 +,12000000,Дин Израэлайт,6.4
1653,Лего Фильм (2014),2014,комедия,США,100,6 +,60000000,null,7.7
1654,Прости за любовь (2014),2014,мелодрама,Испания,105,16 +,null,Хоакин Льямас,6.4
1655,Феи: Легенда о чудовище (2014),2014,мультфильмы,США,76,0 +,null,Стив Лотер,7.1
1656,Дом с паранормальными явлениями (2013),2013,комедия,США,80,16 +,2500000,Майкл Тиддес,5.1
1657,Прекрасные создания (2013),2013,драма,США,122,12 +,null,Ричард ЛаГравенес,6.1
1658,Белый тигр (2012),2012,драма,Россия,104,16 +,6100000,Карен Шахназаров,6.1
1659,Ворон (2012),2012,триллер,США,110,16 +,26000000,Джеймс МакТиг,6.4
1660,Вспомнить все (2012),2012,триллер,США,118,16 +,125000000,Лен Уайзман,6.2
1661,Красные огни (2012),2012,драма,США,113,16 +,null,Родриго Кортес,6.2
1662,Няньки (2012),2012,комедия,Россия,90,16 +,null,Ашот Кещян,3.7
1663,Шпион (2012),2012,триллер,Россия,99,16 +,null,Алексей Андрианов,5.4
1664,Кот в сапогах (2011),2011,комедия,США,90,0 +,130000000,Крис Миллер,6.6
1665,Звездные собаки: Белка и Стрелка (2010),2010,комедия,Россия,88,0 +,null,null,5.0
1666,Мы из будущего 2 (2010),2010,драма,Россия,101,16 +,null,null,5.0
1667,Погребенный заживо (2010),2010,драма,США,95,16 +,3000000,Родриго Кортес,7.0
1668,Рыцарь дня (2010),2010,комедия,США,109,12 +,117000000,Джеймс Мэнголд,6.3
1669,Адреналин: Высокое напряжение (2009),2009,драма,США,96,18 +,20000000,null,6.1
1670,Ледниковый период 3: Эра динозавров (2009),2009,мелодрама,США,94,0 +,90000000,null,6.9
1671,Луна 2112 (2009),2009,драма,Великобритания,97,16 +,5000000,Дункан Джонс,7.8
1672,Простые сложности (2009),2009,мелодрама,США,120,16 +,85000000,Нэнси Майерс,6.6
1673,Суррогаты (2009),2009,триллер,США,85,12 +,80000000,Джонатан Мостоу,6.3
1674,Мадагаскар 2 (2008),2008,комедия,США,85,0 +,150000000,null,6.7
1675,Подмена (2008),2008,драма,США,141,16 +,55000000,Клинт Иствуд,7.7
1676,Смертельная гонка (2008),2008,триллер,США,111,16 +,45000000,Пол У. С. Андерсон,6.4
1677,Совокупность лжи (2008),2008,драма,США,128,16 +,70000000,Ридли Скотт,7.0
1678,Эту пару создал Бог (2008),2008,драма,Индия,167,12 +,null,Адитья Чопра,7.2
1679,Август Раш (2007),2007,драма,США,114,12 +,30000000,Кёрстен Шеридан,7.4
1680,Зодиак (2007),2007,драма,США,157,16 +,65000000,Дэвид Финчер,7.7
1681,Паранормальное явление (2007),2007,детектив,США,86,16 +,15000,Орен Пели,6.3
1682,Пекло (2007),2007,триллер,США,107,16 +,50000000,Дэнни Бойл,7.2
1683,Предчувствие (2007),2007,драма,США,96,16 +,20000000,Меннан Япо,5.9
1684,Рэкетир (2007),2007,драма,Казахстан,80,16 +,800000,Акан Сатаев,6.8
1685,Бой с тенью (2005),2005,драма,Россия,132,16 +,3500000,Алексей Сидоров,5.8
1686,Горбатая гора (2005),2005,драма,США,134,18 +,14000000,Энг Ли,7.7
1687,Оружейный барон (2005),2005,драма,США,122,16 +,50000000,Эндрю Никкол,7.6
1688,Побег (2005),2005,драма,Россия,117,16 +,1800000,Егор Кончаловский,5.5
1689,Лемони Сникет: 33 несчастья (2004),2004,комедия,США,108,12 +,140000000,Брэд Силберлинг,6.8
1690,Одержимость (2004),2004,драма,США,114,16 +,30000000,Пол МакГиган,6.9
1691,Страсти Христовы (2004),2004,драма,США,127,18 +,30000000,Мэл Гибсон,7.3
1692,Прогулка (2003),2003,драма,Россия,88,18 +,null,Алексей Учитель,7.2
1693,Очень страшное кино 2 (2001),2001,комедия,США,83,16 +,45000000,Кинен Айвори Уайанс,5.4
1694,"Крадущийся тигр, затаившийся дракон (2000)",2000,драма,США,120,12 +,17000000,Энг Ли,7.9
1695,13-й воин (1999),1999,боевик,США,102,18 +,85000000,Джон МакТирнан,6.6
1696,История игрушек 2 (1999),1999,комедия,США,92,0 +,90000000,null,7.9
1697,Это все она (1999),1999,мелодрама,США,95,12 +,10000000,Роберт Исков,6.0
1698,Все в жизни бывает (1998),1998,мелодрама,Индия,177,12 +,null,Каран Джохар,7.5
1699,Секреты Лос-Анджелеса (1997),1997,драма,США,138,16 +,35000000,Кёртис Хэнсон,8.2
1700,Чистилище (1997),1997,драма,Россия,115,16 +,null,Александр Невзоров,6.8
1701,Смерч (1996),1996,драма,США,113,0 +,92000000,Ян де Бонт,6.6
1703,Шоугелз (1995),1995,драма,США,128,18 +,45000000,Пол Верховен,5.2
1704,Кошмар перед Рождеством (1993),1993,мультфильмы,США,76,0 +,18000000,Генри Селик,7.9
1705,Смерть ей к лицу (1992),1992,комедия,США,104,16 +,55000000,Роберт Земекис,6.7
1706,Ведьмина служба доставки (1989),1989,аниме,Япония,103,6 +,null,Хаяо Миядзаки,7.8
1707,Коммандос (1985),1985,триллер,США,90,16 +,10000000,Марк Л. Лестер,6.7
1708,Гремлины (1984),1984,комедия,США,106,12 +,11000000,Джо Данте,7.3
1709,Дюна (1984),1984,боевик,США,137,12 +,40000000,Дэвид Линч,6.2
1710,Торпедоносцы (1983),1983,драма,СССР,96,0 +,null,Семен Аранович,7.3
1711,Пластилиновая ворона (1981),1981,короткометражный,СССР,9,6 +,null,Александр Татарский,8.1
1712,Родня (1981),1981,драма,СССР,92,0 +,null,Никита Михалков,7.3
1713,Розыгрыш (1977),1977,мелодрама,СССР,91,0 +,null,Владимир Меньшов,7.0
1714,Восхождение (1976),1976,драма,СССР,106,16 +,null,Лариса Шепитько,8.2
1715,Дни Турбиных (1976),1976,драма,СССР,223,0 +,null,Владимир Басов,7.7
1716,Ежик в тумане (1975),1975,короткометражный,СССР,10,0 +,null,Юрий Норштейн,8.1
1717,Финист — Ясный сокол (1975),1975,детский,СССР,79,0 +,null,Геннадий Васильев,6.8
1718,Зигзаг удачи (1968),1968,комедия,СССР,88,0 +,null,Эльдар Рязанов,7.2
1721,Рикки-Тикки-Тави (1965),1965,мультфильмы,СССР,20,6 +,null,Александра Снежно-Блоцкая,7.5
1722,Дюймовочка (1964),1964,мультфильмы,СССР,30,0 +,null,Леонид Амальрик,7.2
1723,Родная кровь (1964),1964,драма,СССР,90,16 +,null,Михаил Ершов,7.3
1724,Чиполлино (1961),1961,детский,СССР,38,0 +,null,Борис Дежкин,7.5
1725,Еретик (2024),2024,триллер,США,110,18 +,null,null,7.0
1726,Мистер Нокаут (2022),2022,драма,Россия,117,6 +,null,Артем Михалков,5.5
1727,Хищные птицы: Потрясающая история Харли Квинн (2020),2020,боевик,США,109,18 +,100000000,Кэти Янь,6.1
1728,Люди в черном: Интернэшнл (2019),2019,комедия,США,115,12 +,null,Ф. Гэри Грей,5.6
1729,Я иду искать (2019),2019,комедия,США,92,18 +,null,null,6.8
1730,Tomb Raider: Лара Крофт (2018),2018,боевик,США,120,16 +,null,Роар Утхауг,6.3
1731,Апгрейд (2018),2018,драма,Австралия,100,18 +,null,Ли Уоннелл,7.5
1732,Бамблби (2018),2018,боевик,США,113,6 +,128000000,Трэвис Найт,6.7
1733,Мег: Монстр глубины (2018),2018,триллер,США,113,16 +,150000000,Джон Тёртелтауб,5.7
1734,Ночная смена (2018),2018,комедия,Россия,90,16 +,null,Марюс Вайсберг,5.7
1735,Пассажир (2018),2018,триллер,США,105,16 +,null,Жауме Кольет-Серра,6.3
1736,Большой (2017),2017,драма,Россия,132,12 +,null,Валерий Тодоровский,6.8
1737,Взрывная блондинка (2017),2017,триллер,США,115,18 +,30000000,Дэвид Литч,6.7
1738,Чудо (2017),2017,драма,США,113,12 +,null,Стивен Чбоски,7.9
1739,Великолепная семерка (2016),2016,боевик,США,139,16 +,90000000,Антуан Фукуа,6.9
1741,"Кловерфилд, 10 (2016)",2016,драма,США,103,16 +,15000000,Дэн Трахтенберг,7.2
1742,Падение Лондона (2016),2016,триллер,США,99,16 +,60000000,Бабак Наджафи,5.9
1743,Комната (2015),2015,драма,Ирландия,118,18 +,6000000,Леонард Абрахамсон,8.1
1744,Мордекай (2015),2015,комедия,США,107,16 +,60000000,Дэвид Кепп,5.5
1745,Перевозчик: Наследие (2015),2015,триллер,Китай,96,16 +,null,Камиль Деламарр,5.2
1746,Хранитель луны (2015),2015,мультфильмы,Франция,85,6 +,null,null,7.1
1747,Черная месса (2015),2015,драма,США,122,18 +,53000000,Скотт Купер,6.8
1748,13 грехов (2014),2014,триллер,США,88,16 +,5000000,Даниэль Штамм,6.3
1749,Вий (2014),2014,триллер,Россия,145,12 +,26000000,Олег Степченко,5.2
1750,Миллион способов потерять голову (2014),2014,комедия,США,116,18 +,40000000,Сет МакФарлейн,6.1
1751,"С 8 марта, мужчины! (2014)",2014,мелодрама,Россия,95,16 +,3000000,Артем Аксененко,4.3
1752,Самба (2014),2014,драма,Франция,119,12 +,20000000,null,6.7
1753,Снежная королева 2: Перезаморозка (2014),2014,мультфильмы,Россия,80,0 +,null,Алексей Цицилин,5.8
1754,22 минуты (2013),2013,боевик,Россия,120,12 +,6500000,Василий Сериков,5.3
1755,Выживут только любовники (2013),2013,драма,Германия,122,18 +,7000000,Джим Джармуш,7.2
1756,Мрачные небеса (2013),2013,триллер,США,97,16 +,3500000,Скотт Чарльз Стюарт,6.3
1757,Облачно... 2: Месть ГМО (2013),2013,комедия,США,95,0 +,78000000,null,6.3
1758,Одним меньше (2013),2013,драма,США,118,16 +,null,Нильс Арден Оплев,6.4
1759,Философы: Урок выживания (2013),2013,триллер,США,107,12 +,null,Джон Хаддлс,5.6
1760,Американский пирог: Все в сборе (2012),2012,комедия,США,113,16 +,50000000,null,6.7
1761,Напролом (2012),2012,триллер,Франция,95,16 +,20000000,null,6.1
1762,Неудержимый (2012),2012,триллер,США,114,16 +,41000000,Уолтер Хилл,5.7
1763,Соловей-разбойник (2012),2012,комедия,Россия,87,16 +,null,Егор Баранов,5.2
1764,Война богов: Бессмертные (2011),2011,драма,США,110,16 +,75000000,Тарсем Сингх,6.0
1765,Джейн Эйр (2011),2011,драма,США,120,16 +,null,Кэри Дзедзи Фукунага,7.3
1766,Детям до 16... (2010),2010,мелодрама,Россия,89,16 +,null,Андрей Кавун,6.3
1767,Железная хватка (2010),2010,драма,США,110,16 +,38000000,null,7.6
1768,Любовь и другие лекарства (2010),2010,драма,США,113,16 +,30000000,Эдвард Цвик,6.7
1769,Мегамозг (2010),2010,комедия,США,95,12 +,130000000,Том МакГрат,7.3
1770,Охотник за головами (2010),2010,мелодрама,США,110,16 +,40000000,Энди Теннант,5.6
1771,Солт (2010),2010,триллер,США,100,16 +,110000000,Филлип Нойс,6.5
1773,Девять (2009),2009,триллер,США,80,12 +,30000000,Шэйн Экер,7.0
1774,Папе снова 17 (2009),2009,драма,США,102,18 +,20000000,Бёрр Стирс,6.4
1775,Терминатор: Да придет спаситель (2009),2009,драма,США,115,16 +,200000000,МакДжи,6.5
1776,Вики Кристина Барселона (2008),2008,драма,США,96,18 +,20000000,Вуди Аллен,7.1
1777,Спайдервик: Хроники (2008),2008,детский,США,96,12 +,90000000,Марк Уотерс,6.5
1778,Чернильное сердце (2008),2008,приключения,США,106,16 +,60000000,Иэн Софтли,6.1
1779,Крепкий орешек 4.0 (2007),2007,боевик,США,128,16 +,110000000,Лен Уайзман,7.1
1780,Мост в Терабитию (2007),2007,драма,США,93,12 +,21000000,Габор Чупо,7.2
1781,Перелом (2007),2007,драма,США,108,16 +,null,Грегори Хоблит,7.2
1782,Очень страшное кино 4 (2006),2006,комедия,США,83,16 +,45000000,Дэвид Цукер,5.1
1783,Фонтан (2006),2006,драма,США,96,16 +,35000000,Даррен Аронофски,7.1
1784,Автостопом по галактике (2005),2005,комедия,США,109,12 +,50000000,Гарт Дженнингс,6.7
1786,Лило и Стич (2002),2002,мультфильмы,США,85,12 +,80000000,null,7.4
1787,Олигарх (2002),2002,драма,Россия,128,18 +,5000000,Павел Лунгин,6.7
1788,Пункт назначения 2 (2002),2002,триллер,США,90,16 +,26000000,Дэвид Р. Эллис,6.2
1789,Стильная штучка (2002),2002,мелодрама,США,108,12 +,38000000,Энди Теннант,6.2
1790,Три икса (2002),2002,триллер,США,124,16 +,70000000,Роб Коэн,5.9
1791,Час пик 2 (2001),2001,комедия,США,90,16 +,90000000,Бретт Рэтнер,6.7
1792,Военный ныряльщик (2000),2000,драма,США,129,12 +,32000000,Джордж Тиллман мл.,7.2
1793,Ослепленный желаниями (2000),2000,мелодрама,США,93,16 +,48000000,Харольд Рэмис,6.1
1794,Астерикс и Обеликс против Цезаря (1999),1999,комедия,Германия,109,12 +,null,Клод Зиди,6.0
1795,С широко закрытыми глазами (1999),1999,драма,США,159,18 +,65000000,Стэнли Кубрик,7.5
1796,Влюбленный Шекспир (1998),1998,драма,США,123,18 +,25000000,Джон Мэдден,7.1
1797,Секретные материалы: Борьба за будущее (1998),1998,драма,США,121,16 +,66000000,Роб Боумен,7.0
1798,Факультет (1998),1998,триллер,США,104,16 +,15000000,Роберт Родригес,6.6
1800,Анастасия (1997),1997,драма,США,94,0 +,53000000,null,7.2
1801,Куб (1997),1997,триллер,Канада,90,16 +,null,Винченцо Натали,7.1
1802,Пик Данте (1997),1997,триллер,США,109,0 +,116000000,Роджер Дональдсон,6.1
1803,Быстрый и мертвый (1995),1995,триллер,США,107,12 +,32000000,Сэм Рэйми,6.5
1804,Майор Пэйн (1995),1995,комедия,США,95,0 +,null,Ник Касл,6.3
1805,Патруль времени (1994),1994,триллер,США,99,16 +,27800000,Питер Хайамс,5.9
1806,Четыре свадьбы и одни похороны (1994),1994,мелодрама,Великобритания,117,16 +,4400000,Майк Ньюэлл,7.1
1807,Последний киногерой (1993),1993,комедия,США,130,12 +,85000000,Джон МакТирнан,6.5
1808,Разрушитель (1993),1993,триллер,США,115,16 +,57000000,Марко Брамбилла,6.7
1809,Скалолаз (1993),1993,триллер,США,112,18 +,65000000,Ренни Харлин,6.5
1810,"На Дерибасовской хорошая погода, или На Брайтон-Бич опять идут дожди (1992)",1992,комедия,Россия,91,16 +,null,Леонид Гайдай,6.0
1811,Последний бойскаут (1991),1991,комедия,США,105,16 +,null,Тони Скотт,7.0
1812,Интердевочка (1989),1989,драма,СССР,151,16 +,null,Петр Тодоровский,7.0
1813,Охотники за привидениями 2 (1989),1989,комедия,США,108,6 +,37000000,Айвен Райтман,6.6
1814,Сталинград (1989),1989,драма,США,196,0 +,null,Юрий Озеров,6.8
1815,Близнецы (1988),1988,драма,США,105,0 +,15000000,Айвен Райтман,6.2
1816,Деловая женщина (1988),1988,драма,США,113,16 +,28000000,Майк Николс,6.8
1817,Кровавый спорт (1988),1988,биография,США,92,16 +,1100000,Ньют Арнольд,6.8
1818,Зловещие мертвецы 2 (1987),1987,комедия,США,84,18 +,3500000,Сэм Рэйми,7.7
1819,Сердце Ангела (1987),1987,триллер,США,113,18 +,17000000,Алан Паркер,7.2
1820,Муха (1986),1986,ужасы,США,96,16 +,15000000,Дэвид Кроненберг,7.6
1821,Безумный Макс 3: Под куполом грома (1985),1985,триллер,США,107,18 +,12000000,null,6.2
1822,Чебурашка идет в школу (1983),1983,короткометражный,СССР,9,6 +,null,Роман Качанов,7.2
1823,Чучело (1983),1983,драма,СССР,127,12 +,null,null,7.7
1824,Будьте моим мужем (1981),1981,мелодрама,СССР,87,12 +,null,Алла Сурикова,6.7
1825,"Не бойся, я с тобой! (1981)",1981,мелодрама,СССР,150,0 +,null,Юлий Гусман,7.5
1826,За спичками (1980),1980,комедия,СССР,100,12 +,null,null,6.8
1827,Тегеран-43 (1980),1980,драма,СССР,150,0 +,null,null,6.6
1828,"Трое в лодке, не считая собаки (1979)",1979,комедия,СССР,127,0 +,null,Наум Бирман,6.9
1829,31 июня (1978),1978,мелодрама,СССР,142,6 +,null,Леонид Квинихидзе,7.2
1830,Мой ласковый и нежный зверь (1978),1978,драма,СССР,109,12 +,null,Эмиль Лотяну,7.3
1831,Молодая жена (1978),1978,мелодрама,СССР,97,12 +,null,Леонид Менакер,7.0
1832,Бобик в гостях у Барбоса (1977),1977,комедия,СССР,9,12 +,null,Владимир Попов,7.8
1833,Синьор Робинзон (1976),1976,мелодрама,Италия,107,16 +,null,Серджио Корбуччи,6.6
1834,"Сказ про то, как царь Петр арапа женил (1976)",1976,мелодрама,СССР,100,0 +,null,Александр Митта,7.2
1835,Дожить до рассвета (1975),1975,драма,СССР,79,16 +,null,null,7.0
1837,Москва — Кассиопея (1974),1974,комедия,СССР,83,0 +,null,Ричард Викторов,6.6
1838,Здравствуй и прощай (1972),1972,мелодрама,СССР,95,12 +,null,Виталий Мельников,7.2
1839,Кабаре (1972),1972,драма,США,124,18 +,6000000,Боб Фосси,7.8
1840,Солярис (1972),1972,драма,СССР,169,12 +,null,Андрей Тарковский,7.9
1841,Обратной дороги нет (1970),1970,военный,СССР,205,12 +,null,Григорий Липшиц,7.6
1842,"Огонь, вода ... и медные трубы (1968)",1968,мелодрама,СССР,86,6 +,null,Александр Роу,7.0
1843,Анна Каренина (1967),1967,драма,СССР,145,0 +,null,Александр Зархи,7.0
1844,Бонни и Клайд (1967),1967,драма,США,112,12 +,2500000,Артур Пенн,7.7
1845,Андрей Рублев (1966),1966,драма,СССР,175,12 +,null,Андрей Тарковский,8.0
1846,Мужчина и женщина (1966),1966,драма,Франция,102,16 +,null,Клод Лелуш,7.5
1847,Три толстяка (1966),1966,приключения,СССР,85,0 +,null,null,7.2
1848,Когда деревья были большими (1961),1961,драма,СССР,95,0 +,null,Лев Кулиджанов,7.6
1849,Марья-искусница (1960),1960,детский,СССР,74,6 +,null,Александр Роу,7.1
1850,Финист. Первый богатырь (2025),2025,приключения,Россия,112,6 +,null,Дмитрий Дьяченко,5.9
1851,Руки вверх! (2024),2024,драма,Россия,100,12 +,null,Аскар Узабаев,5.5
1852,Дьявол в деталях (2021),2021,драма,США,127,18 +,null,Джон Ли Хэнкок,6.3
1853,Кролик Питер 2 (2021),2021,комедия,США,93,6 +,null,Уилл Глак,6.2
1854,"Те, кто желает мне смерти (2021)",2021,драма,США,100,18 +,null,Тейлор Шеридан,6.0
1855,Зов предков (2020),2020,драма,США,105,6 +,null,Крис Сандерс,6.7
1856,Кома (2020),2020,боевик,Россия,111,16 +,null,Никита Аргунов,6.3
1857,Годзилла 2: Король монстров (2019),2019,боевик,США,132,16 +,200000000,Майкл Догерти,6.0
1858,Хеллбой (2019),2019,боевик,США,120,18 +,null,Нил Маршалл,5.3
1859,Эбигейл (2019),2019,приключения,Россия,110,6 +,null,Александр Богуславский,4.8
1860,Великий уравнитель 2 (2018),2018,триллер,США,121,18 +,null,Антуан Фукуа,6.7
1861,Хан Соло. Звездные войны: Истории (2018),2018,боевик,США,143,12 +,null,Рон Ховард,6.9
1862,Весь этот мир (2017),2017,драма,США,96,12 +,10000000,Стелла Меги,6.3
1863,Дело храбрых (2017),2017,драма,США,134,16 +,null,Джозеф Косински,7.6
1864,Три икса: Мировое господство (2017),2017,триллер,США,107,16 +,85000000,Ди Джей Карузо,5.2
1865,Форма воды (2017),2017,драма,США,123,18 +,19400000,Гильермо дель Торо,7.3
1866,13 часов: Тайные солдаты Бенгази (2016),2016,драма,США,144,18 +,50000000,Майкл Бэй,7.3
1868,Викинг (2016),2016,драма,Россия,133,18 +,null,Андрей Кравчук,4.6
1869,Нерв (2016),2016,триллер,США,96,16 +,20000000,null,6.5
1870,Обещание (2016),2016,драма,США,132,16 +,90000000,Терри Джордж,6.1
1872,Очень плохие мамочки (2016),2016,комедия,США,100,18 +,20000000,null,6.2
1873,Союзники (2016),2016,драма,США,121,18 +,85000000,Роберт Земекис,7.1
1874,Бумажные города (2015),2015,драма,США,109,12 +,12000000,Джейк Шрейер,6.2
1875,Все могу (2015),2015,комедия,США,85,18 +,null,Терри Джонс,6.0
1877,На гребне волны (2015),2015,триллер,США,114,16 +,105000000,Эриксон Кор,5.3
1878,Дом с паранормальными явлениями 2 (2014),2014,комедия,США,87,18 +,4000000,Майкл Тиддес,4.7
1879,Класс коррекции (2014),2014,драма,Россия,88,16 +,1500000,Иван И. Твердовский,6.9
1880,Рейд 2 (2014),2014,триллер,Индонезия,150,18 +,null,Гарет Эванс,7.9
1881,Саботаж (2014),2014,драма,США,109,16 +,35000000,Дэвид Эйр,5.7
1882,Va-банк (2013),2013,драма,США,91,16 +,null,Брэд Фурман,5.6
1883,Окулус (2013),2013,триллер,США,105,16 +,5000000,Майк Флэнаган,6.5
1884,Побеждая время (2013),2013,драма,США,97,16 +,4000000,Эрик Хайссерер,6.3
1885,Смурфики 2 (2013),2013,комедия,США,110,0 +,105000000,Раджа Госнелл,5.3
1886,Анна Каренина (2012),2012,драма,Великобритания,129,12 +,null,Джо Райт,6.6
1887,Астерикс и Обеликс в Британии (2012),2012,комедия,Венгрия,110,12 +,null,Лоран Тирар,5.3
1888,Джунгли (2012),2012,комедия,Россия,90,6 +,null,Александр Войтинский,5.0
1889,Доспехи бога 3: Миссия Зодиак (2012),2012,комедия,Гонконг,94,6 +,null,Джеки Чан,6.0
1890,Кон-Тики (2012),2012,биография,Германия,118,6 +,16600000,null,7.1
1891,Лето. Одноклассники. Любовь (2012),2012,драма,США,97,16 +,11000000,Лиза Азуэлос,4.4
1892,Рассказы (2012),2012,драма,Россия,105,18 +,null,Михаил Сегал,6.9
1893,Супер Майк (2012),2012,драма,США,110,18 +,7000000,Стивен Содерберг,6.1
1894,Без компромиссов (2011),2011,триллер,США,97,16 +,null,Эллиотт Лестер,6.1
1895,Ковбои против пришельцев (2011),2011,триллер,США,119,12 +,163000000,Джон Фавро,6.0
